"","EE-a","EE-b","L2-a","L2-b","L4-a","L4-b","YA-a","YA-b"
"WBGene00270496",4.57950599886272,4.7192469539624,4.84192989577171,6.61591467416408,4.27106238621063,6.17957214427929,4.47513171340723,4.53300065955419
"WBGene00270497",-1.44884810923147,-1.6689753907308,-0.515622108846376,-2.73355086574156,-1.34364745790458,-0.23748422520762,1.31167620729448,-2.03347627032179
"WBGene00270498",3.82652141940173,3.75409048230398,-0.515622108846376,1.77600423232157,1.82627754353774,2.75227174329558,3.92381493063437,3.81618945659378
"WBGene00270501",5.25869757422239,5.28798841530789,1.80630598604099,1.70385444656574,2.74381538334576,3.89723267778797,5.69195566836104,5.94951730437252
"WBGene00270502",3.04387121050513,2.6700262175155,-0.515622108846376,-3.58154777229651,-1.34364745790458,-5.96540467977082,-3.58556421828032,-2.03347627032179
"WBGene00270503",3.44629727870395,3.53675968665204,-0.515622108846376,3.47373466320468,1.82627754353774,4.19824499624501,3.80503468727214,4.16073338324395
"WBGene00270504",6.16127890029459,6.44129040004379,5.31726790531837,5.69317980049079,7.45401406794918,5.95829420352425,6.61337186982106,7.34325207589085
"WBGene00270506",-0.592212284402646,-1.20331181838199,-0.515622108846376,-1.14858836502041,-1.34364745790458,-1.87794183852048,2.48911246801417,2.03500346756098
"WBGene00270507",5.05551460537408,4.54696200846835,3.87669531393238,4.44856755861156,4.67872035512388,5.31826248772068,4.86482226075397,4.70799071607936
"WBGene00270508",2.01058350940583,1.76525567378135,-0.515622108846376,2.62400113887652,-1.34364745790458,3.77774671434168,3.1009363089029,3.44405715469082
"WBGene00270509",-2.95786175671933,-6.06129281350956,-0.515622108846376,-5.90347586718388,2.74381538334576,1.64192563397879,3.52086785953661,3.05869357360608
"WBGene00270510",4.91959936202655,4.90953208785305,4.12823408092835,4.44635822427337,4.84617710097544,4.19067839651786,5.15387887949213,5.26318506595514
"WBGene00270511",6.88073613701699,6.8337143668591,3.87669531393238,5.36857065720606,4.1482056384251,5.03389070725259,6.11314044849002,6.15029693728393
"WBGene00270512",-1.80032047973285,-2.36085309536847,-0.515622108846376,1.70385444656574,0.978280636982787,2.87694566364299,-2.20705259502659,-2.88147317687674
"WBGene00270514",5.15106473295566,5.31645998151266,4.69383125678257,3.61419352094994,6.39106216232126,3.62891992415403,4.64036619289073,4.83688844926161
"WBGene00270518",1.08989137472904,1.21483159176467,1.80630598604099,0.246271252320806,2.35679226023652,1.21450441024412,2.37327845696292,2.05398657092855
