"","EE--","L2--","L4--","Ad_female--","Ad_male--"
"WBGene00126802",-1.94914790478483,-1.79014682586246,-2.39512274618428,-2.46214443944264,0.0325260264182326
"WBGene00126803",2.84969383558284,3.06433306826675,0.888356296019302,2.68277963727675,3.39694950110552
"WBGene00126806",4.67127570434181,4.82994200388608,4.5553713628305,5.50949719373389,5.00069546294606
"WBGene00126809",2.7146079528769,3.81609558038557,3.57957093921883,1.31232045920471,2.40226854688699
"WBGene00126810",4.56588853589861,1.95543515098281,4.25425567661209,1.16420582431174,0.343435828407564
"WBGene00126811",4.44000767936387,4.98616162666284,4.86043061779482,5.72309377686802,4.12953101087343
"WBGene00126813",-0.146732351777064,1.60270075574606,1.13560003368142,-0.5862035140131,-1.15565024494844
"WBGene00126818",3.60085931995667,4.54463673212413,3.95921226731951,4.21699149524863,3.8549270609086
"WBGene00126821",-3.04811967952493,-3.04811967952493,-3.04811967952493,-2.46214443944264,6.58572066250555
"WBGene00126822",1.22033835626176,-2.49833730150301,1.26586844533088,-2.46214443944264,-1.81156529056744
"WBGene00126825",2.0762051019513,2.1502799621452,1.30680226942169,-0.875832724501208,1.22321164028264
"WBGene00126826",-2.58274775145643,-0.81211118016719,-0.899319782435759,-0.238162005496707,0.747370236751547
"WBGene00126829",1.76066694713586,-2.10121688288049,-0.298732924303851,-0.875832724501208,-1.81156529056744
"WBGene00126830",6.82565897090881,6.92257866028816,7.37872400201458,7.46171776161992,7.80760311273827
"WBGene00126831",1.30339102740482,0.937715487055697,-1.09871316264367,-2.04660083695359,-0.364332613255586
"WBGene00126832",4.75234348092236,5.8494999798613,5.55165751129692,5.77827695318734,5.11774221271256
"WBGene00126836",3.87422977991434,5.33381734164422,3.63687799620317,2.87372951419112,3.32794889010623
"WBGene00126837",4.20821758625298,3.25436931767191,2.81589615971299,4.82834758729151,2.84240211711289
"WBGene00126839",4.02050423214998,4.2579437318916,4.0644084249627,4.19807037251248,4.12953101087343
"WBGene00126842",7.7062276894247,7.72483034628318,7.47165540426517,8.1924239003447,7.65867513633621
"WBGene00126843",4.34191925097404,1.89145254374174,2.31189992905614,3.87970394957775,2.72207137616521
"WBGene00126844",6.15807140698564,5.63344439975125,5.81726284737284,3.39782504285085,4.0316716150709
"WBGene00126845",0.67232777057569,3.4146949327172,1.42306491551896,2.22162417033019,2.95346452752445
