"","EE-SRS267689","L2-SRS183252","L2-SRS267690","L4-SRS183253","YA_female-SRS267691","YA_male-SRS267692"
"WBGene00071508",0.469015754655224,-0.706881826920514,-6.17207217995706,-1.01605829888539,-5.54243806426562,-4.2994521563224
"WBGene00071506",0.396503254870856,2.4630431745218,3.10637727826342,2.6843814192557,1.80629008996546,2.570912563261
"WBGene00071505",-1.07412657037131,-0.706881826920514,1.79947137399371,-1.01605829888539,0.523651126192153,0.802085870139657
"WBGene00071504",3.79376989362135,4.50257153870844,3.92068496096279,4.02833582047306,4.62998944437986,3.87380855768316
"WBGene00071503",3.91163406284544,3.93697436285421,4.64170901125997,4.47579479744428,4.56347044430554,5.89242957535861
"WBGene00071502",4.51683467097129,5.02103862764269,4.1190985193648,3.62779789088933,4.63622678674085,3.96577218060221
"WBGene00071498",6.74951362304645,5.66815760442641,6.36781361279441,5.69818721878073,6.39897640667729,5.81472396823235
"WBGene00071790",1.45480189543552,3.38058101432983,4.65685764769442,4.19339506674356,5.73019172071075,5.51557882909744
"WBGene00071797",0.396503254870856,1.61504626796685,-0.617483328279427,-1.01605829888539,0.647386494614398,-0.674961291414611
"WBGene00073955",-0.711556490986597,-0.706881826920514,-1.58710967923591,-1.01605829888539,-3.22050996937826,-2.71448965560125
"WBGene00071800",-1.07412657037131,-0.706881826920514,-2.26518158434855,-1.01605829888539,-2.73508314220802,-3.5624865621562
"WBGene00073307",1.55814164512821,-0.706881826920514,0.335722460241632,-1.01605829888539,-2.08300644562832,-2.71448965560125
"WBGene00071789",-3.88148149242891,-0.706881826920514,1.52141477754226,-1.01605829888539,-1.01887610820861,-5.88441465704356
"WBGene00061354",0.20598134882143,-0.706881826920514,-6.17207217995706,-1.01605829888539,-5.54243806426562,-5.88441465704356
"WBGene00071794",-0.628702540900725,1.61504626796685,0.925959903003463,-1.01605829888539,0.647386494614398,1.44201483007874
"WBGene00071795",0.599559063689311,1.61504626796685,2.15588458667364,-1.01605829888539,1.42334622039647,1.40560418988906
"WBGene00071796",0.573483981205803,-0.706881826920514,2.2073061871142,-1.01605829888539,1.1718074534005,1.85029496318228
"WBGene00071798",-1.07412657037131,-0.706881826920514,0.397783428373884,-1.01605829888539,-5.54243806426562,-1.12952715488009
"WBGene00071799",-3.03348458587396,-0.706881826920514,-0.627957777747589,-1.01605829888539,-2.08300644562832,-3.5624865621562
"WBGene00072042",-2.29651899170775,-0.706881826920514,-3.00214717851475,-1.01605829888539,-0.588241753878744,3.9051189879268
"WBGene00072041",-3.88148149242891,-0.706881826920514,-0.149704366928609,-1.01605829888539,-3.22050996937826,-1.97752406143504
"WBGene00072040",-3.03348458587396,7.74020139928914,5.50227017717247,8.59312043925659,8.07238678603091,7.05938216255523
"WBGene00072038",-6.20340958731627,-0.706881826920514,-6.17207217995706,2.15386670255692,-2.73508314220802,2.41479336134372
"WBGene00072036",-3.88148149242891,-0.706881826920514,-1.4171846777936,-1.01605829888539,-3.22050996937826,-1.97752406143504
